Entry	Entry name	Protein names	Gene names	Gene names  (synonym )	Gene names  (primary )	Mass	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs	Subcellular location [CC]	Tissue specificity
Q46938	KDUI_ECOLI	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase (EC 5.3.1.17) (5-keto-4-deoxyuronate isomerase) (DKI isomerase)	kduI yqeE b2843 JW2811	yqeE	kduI	31,076	D-galacturonate catabolic process [GO:0019698]; D-glucuronate catabolic process [GO:0042840]; pectin catabolic process [GO:0045490]	cytosol [GO:0005829]	cytosol [GO:0005829]; 4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase activity [GO:0008697]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; zinc ion binding [GO:0008270]; D-galacturonate catabolic process [GO:0019698]; D-glucuronate catabolic process [GO:0042840]; pectin catabolic process [GO:0045490]	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase activity [GO:0008697]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; zinc ion binding [GO:0008270]	GO:0005829; GO:0008270; GO:0008697; GO:0019698; GO:0042802; GO:0042840; GO:0045490; GO:0046872		
P00804	LSPA_ECOLI	Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II)	lspA lsp b0027 JW0025	lsp	lspA	18,156	lipoprotein biosynthetic process via signal peptide cleavage [GO:0097304]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; aspartic-type endopeptidase activity [GO:0004190]; endopeptidase activity [GO:0004175]; lipoprotein biosynthetic process via signal peptide cleavage [GO:0097304]	aspartic-type endopeptidase activity [GO:0004190]; endopeptidase activity [GO:0004175]	GO:0004175; GO:0004190; GO:0005886; GO:0005887; GO:0097304	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:6368552}; Multi-pass membrane protein {ECO:0000269|PubMed:6368552}.	
P0AD83	LPPY_ECOLI	pyr operon leader peptide (pyrBI operon attenuator)	pyrL b4246 JW4205		pyrL	5,098	pyrimidine nucleobase biosynthetic process [GO:0019856]; pyrimidine nucleotide biosynthetic process [GO:0006221]; transcriptional attenuation [GO:0031555]		pyrimidine nucleobase biosynthetic process [GO:0019856]; pyrimidine nucleotide biosynthetic process [GO:0006221]; transcriptional attenuation [GO:0031555]		GO:0006221; GO:0019856; GO:0031555		
P75867	LONH_ECOLI	Putative Lon protease homolog (EC 3.4.21.-) (ATP-dependent protease La homolog)	ycbZ b0955 JW0938		ycbZ	65,819	protein catabolic process [GO:0030163]		ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; serine-type endopeptidase activity [GO:0004252]; protein catabolic process [GO:0030163]	ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; serine-type endopeptidase activity [GO:0004252]	GO:0004176; GO:0004252; GO:0005524; GO:0030163		
P77044	MHPC_ECOLI	2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase (EC 3.7.1.14) (2-hydroxy-6-ketonona-2,4-diene-1,9-dioic acid 5,6-hydrolase) (2-hydroxy-6-oxonona-2,4,7-triene-1,9-dioic acid 5,6-hydrolase) (2-hydroxy-6-oxonona-2,4-diene-1,9-dioic acid 5,6-hydrolase)	mhpC b0349 JW0340		mhpC	31,937	3-(3-hydroxy)phenylpropionate catabolic process [GO:0019622]; 3-phenylpropionate catabolic process [GO:0019380]; aromatic compound catabolic process [GO:0019439]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; 2-hydroxy-6-oxonona-2,4,7-trienedioate hydrolase activity [GO:0052823]; 2-hydroxy-6-oxonona-2,4-dienedioate hydrolase activity [GO:0018771]; hydrolase activity [GO:0016787]; protein homodimerization activity [GO:0042803]; 3-(3-hydroxy)phenylpropionate catabolic process [GO:0019622]; 3-phenylpropionate catabolic process [GO:0019380]; aromatic compound catabolic process [GO:0019439]	2-hydroxy-6-oxonona-2,4,7-trienedioate hydrolase activity [GO:0052823]; 2-hydroxy-6-oxonona-2,4-dienedioate hydrolase activity [GO:0018771]; hydrolase activity [GO:0016787]; protein homodimerization activity [GO:0042803]	GO:0005737; GO:0016787; GO:0018771; GO:0019380; GO:0019439; GO:0019622; GO:0042803; GO:0052823		
P33940	MQO_ECOLI	Malate:quinone oxidoreductase (EC 1.1.5.4) (MQO) (Malate dehydrogenase [quinone])	mqo yojH b2210 JW2198	yojH	mqo	60,230	tricarboxylic acid cycle [GO:0006099]	cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]	cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; flavin adenine dinucleotide binding [GO:0050660]; malate dehydrogenase (menaquinone) activity [GO:0052589]; malate dehydrogenase (quinone) activity [GO:0008924]; oxidoreductase activity [GO:0016491]; tricarboxylic acid cycle [GO:0006099]	flavin adenine dinucleotide binding [GO:0050660]; malate dehydrogenase (menaquinone) activity [GO:0052589]; malate dehydrogenase (quinone) activity [GO:0008924]; oxidoreductase activity [GO:0016491]	GO:0005737; GO:0005829; GO:0006099; GO:0008924; GO:0009898; GO:0016491; GO:0050660; GO:0052589		
P0A6U3	MNMG_ECOLI	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)	mnmG gidA trmF b3741 JW3719	gidA trmF	mnmG	69,521	response to UV [GO:0009411]; tRNA methylation [GO:0030488]; tRNA wobble uridine modification [GO:0002098]	cytosol [GO:0005829]	cytosol [GO:0005829]; flavin adenine dinucleotide binding [GO:0050660]; response to UV [GO:0009411]; tRNA methylation [GO:0030488]; tRNA wobble uridine modification [GO:0002098]	flavin adenine dinucleotide binding [GO:0050660]	GO:0002098; GO:0005829; GO:0009411; GO:0030488; GO:0050660	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17062623}.	
P77181	PAAY_ECOLI	Phenylacetic acid degradation protein PaaY	paaY ydbZ b1400 JW1395	ydbZ	paaY	21,325	phenylacetate catabolic process [GO:0010124]		CoA hydrolase activity [GO:0016289]; transferase activity [GO:0016740]; phenylacetate catabolic process [GO:0010124]	CoA hydrolase activity [GO:0016289]; transferase activity [GO:0016740]	GO:0010124; GO:0016289; GO:0016740		
P39371	NANM_ECOLI	N-acetylneuraminate epimerase (EC 5.1.3.24) (N-acetylneuraminate mutarotase) (Neu5Ac mutarotase) (Sialic acid epimerase)	nanM yjhT b4310 JW5777	yjhT	nanM	39,572	carbohydrate metabolic process [GO:0005975]	outer membrane-bounded periplasmic space [GO:0030288]	outer membrane-bounded periplasmic space [GO:0030288]; racemase and epimerase activity, acting on carbohydrates and derivatives [GO:0016857]; carbohydrate metabolic process [GO:0005975]	racemase and epimerase activity, acting on carbohydrates and derivatives [GO:0016857]	GO:0005975; GO:0016857; GO:0030288	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:18063573}.	
P04425	GSHB_ECOLI	Glutathione synthetase (EC 6.3.2.3) (GSH synthetase) (GSH-S) (GSHase) (Glutathione synthase)	gshB gsh-II b2947 JW2914	gsh-II	gshB	35,561	glutathione biosynthetic process [GO:0006750]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; ATP binding [GO:0005524]; glutathione synthase activity [GO:0004363]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; magnesium ion binding [GO:0000287]; glutathione biosynthetic process [GO:0006750]	ATP binding [GO:0005524]; glutathione synthase activity [GO:0004363]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; magnesium ion binding [GO:0000287]	GO:0000287; GO:0004363; GO:0005524; GO:0005737; GO:0005829; GO:0006750; GO:0016879		
P77329	HYFG_ECOLI	Hydrogenase-4 component G (EC 1.-.-.-)	hyfG b2487 JW2472		hyfG	63,383			4 iron, 4 sulfur cluster binding [GO:0051539]; metal cluster binding [GO:0051540]; NAD binding [GO:0051287]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; nickel cation binding [GO:0016151]; quinone binding [GO:0048038]	4 iron, 4 sulfur cluster binding [GO:0051539]; metal cluster binding [GO:0051540]; NAD binding [GO:0051287]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; nickel cation binding [GO:0016151]; quinone binding [GO:0048038]	GO:0008137; GO:0016151; GO:0048038; GO:0051287; GO:0051539; GO:0051540		
P0A9W6	IBAG_ECOLI	Acid stress protein IbaG	ibaG yrbA b3190 JW3157	yrbA	ibaG	9,452		cytosol [GO:0005829]	cytosol [GO:0005829]; 2 iron, 2 sulfur cluster binding [GO:0051537]	2 iron, 2 sulfur cluster binding [GO:0051537]	GO:0005829; GO:0051537		
P23917	MAK_ECOLI	Fructokinase (EC 2.7.1.4) (D-fructose kinase) (Manno(fructo)kinase)	mak yajF b0394 JW0385	yajF	mak	32,500		cytosol [GO:0005829]	cytosol [GO:0005829]; ATP binding [GO:0005524]; fructokinase activity [GO:0008865]; hexokinase activity [GO:0004396]; mannokinase activity [GO:0019158]	ATP binding [GO:0005524]; fructokinase activity [GO:0008865]; hexokinase activity [GO:0004396]; mannokinase activity [GO:0019158]	GO:0004396; GO:0005524; GO:0005829; GO:0008865; GO:0019158		
P15006	MCRC_ECOLI	Protein McrC	mcrC b4345 JW5789		mcrC	40,590	DNA restriction-modification system [GO:0009307]		DNA restriction-modification system [GO:0009307]		GO:0009307		
C1P608	IBSB_ECOLI	Small toxic protein IbsB	ibsB b4668 JW2058.2		ibsB	2,064							
C1P615	IBSC_ECOLI	Small toxic protein IbsC	ibsC b4665 JW2879.1		ibsC	2,209	programmed cell death [GO:0012501]		programmed cell death [GO:0012501]		GO:0012501		
C1P616	IBSD_ECOLI	Small toxic protein IbsD	ibsD b4664 JW3023.1		ibsD	2,151		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.	
C1P617	IBSE_ECOLI	Small toxic protein IbsE	ibsE b4666 JW3023.2		ibsE	2,207	programmed cell death [GO:0012501]		programmed cell death [GO:0012501]		GO:0012501		
P37340	MDTK_ECOLI	Multidrug resistance protein MdtK (Multidrug-efflux transporter)	mdtK norE norM ydhE b1663 JW1655	norE norM ydhE	mdtK	49,447	cellular response to reactive oxygen species [GO:0034614]; dipeptide transmembrane transport [GO:0035442]; drug transmembrane transport [GO:0006855]; protein transport [GO:0015031]; response to antibiotic [GO:0046677]; sodium ion transport [GO:0006814]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]; xenobiotic transport [GO:0042908]	integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]	integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]; dipeptide transmembrane transporter activity [GO:0071916]; solute:cation antiporter activity [GO:0015298]; transmembrane transporter activity [GO:0022857]; xenobiotic transmembrane transporter activity [GO:0042910]; cellular response to reactive oxygen species [GO:0034614]; dipeptide transmembrane transport [GO:0035442]; drug transmembrane transport [GO:0006855]; protein transport [GO:0015031]; response to antibiotic [GO:0046677]; sodium ion transport [GO:0006814]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]; xenobiotic transport [GO:0042908]	dipeptide transmembrane transporter activity [GO:0071916]; solute:cation antiporter activity [GO:0015298]; transmembrane transporter activity [GO:0022857]; xenobiotic transmembrane transporter activity [GO:0042910]	GO:0005886; GO:0005887; GO:0006814; GO:0006855; GO:0015031; GO:0015298; GO:0016020; GO:0022857; GO:0034614; GO:0035442; GO:0042908; GO:0042910; GO:0046677; GO:0071916; GO:1990961	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000305|PubMed:15919996}.	
P0A8N0	MATP_ECOLI	Macrodomain Ter protein	matP ycbG b0956 JW0939	ycbG	matP	17,693	cell cycle [GO:0007049]; cell division [GO:0051301]; chromosome organization [GO:0051276]; chromosome segregation [GO:0007059]; regulation of transcription, DNA-templated [GO:0006355]	cytoplasm [GO:0005737]; DNA replication termination region [GO:0097047]	cytoplasm [GO:0005737]; DNA replication termination region [GO:0097047]; sequence-specific DNA binding [GO:0043565]; cell cycle [GO:0007049]; cell division [GO:0051301]; chromosome organization [GO:0051276]; chromosome segregation [GO:0007059]; regulation of transcription, DNA-templated [GO:0006355]	sequence-specific DNA binding [GO:0043565]	GO:0005737; GO:0006355; GO:0007049; GO:0007059; GO:0043565; GO:0051276; GO:0051301; GO:0097047	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01073, ECO:0000269|PubMed:18984159}. Note=Accumulates in the cell as a discrete focus that colocalizes with the Ter macrodomain.	
P32053	INTA_ECOLI	Prophage integrase IntA (Prophage CP4-57 integrase SlpA)	intA intX slpA b2622 JW2602	intX slpA	intA	46,652	provirus excision [GO:0032359]; viral entry into host cell [GO:0046718]; viral genome integration into host DNA [GO:0044826]		DNA binding [GO:0003677]; prophage integrase activity [GO:0008979]; provirus excision [GO:0032359]; viral entry into host cell [GO:0046718]; viral genome integration into host DNA [GO:0044826]	DNA binding [GO:0003677]; prophage integrase activity [GO:0008979]	GO:0003677; GO:0008979; GO:0032359; GO:0044826; GO:0046718		
Q47718	INSO2_ECOLI	Putative transposase InsO for insertion sequence element IS911B	insO2 b4285		insO2	22,265	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition [GO:0032196]		DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition [GO:0032196]	DNA binding [GO:0003677]	GO:0003677; GO:0006310; GO:0015074; GO:0032196		
P0ABN1	KDGL_ECOLI	Diacylglycerol kinase (DAGK) (EC 2.7.1.107) (Diglyceride kinase) (DGK)	dgkA dgk b4042 JW4002	dgk	dgkA	13,245	phosphatidic acid biosynthetic process [GO:0006654]; response to UV [GO:0009411]	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; diacylglycerol kinase activity [GO:0004143]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; phosphatidic acid biosynthetic process [GO:0006654]; response to UV [GO:0009411]	ATP binding [GO:0005524]; diacylglycerol kinase activity [GO:0004143]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]	GO:0004143; GO:0005524; GO:0005886; GO:0006654; GO:0009411; GO:0016020; GO:0016021; GO:0042802; GO:0046872	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:217867, ECO:0000269|PubMed:2984194, ECO:0000269|PubMed:8071224}; Multi-pass membrane protein {ECO:0000255, ECO:0000269|PubMed:8071224}.	
P0AD59	IVY_ECOLI	Inhibitor of vertebrate lysozyme	ivy ykfE b0220 JW0210	ykfE	ivy	16,872	chaperone-mediated protein folding [GO:0061077]; regulation of catalytic activity [GO:0050790]	outer membrane-bounded periplasmic space [GO:0030288]	outer membrane-bounded periplasmic space [GO:0030288]; lysozyme inhibitor activity [GO:0060241]; chaperone-mediated protein folding [GO:0061077]; regulation of catalytic activity [GO:0050790]	lysozyme inhibitor activity [GO:0060241]	GO:0030288; GO:0050790; GO:0060241; GO:0061077	SUBCELLULAR LOCATION: Periplasm.	
P0C8K0	KBAZ_ECOLI	D-tagatose-1,6-bisphosphate aldolase subunit KbaZ	kbaZ agaZ yhaX b3132 JW3101	agaZ yhaX	kbaZ	47,192	carbohydrate metabolic process [GO:0005975]; D-tagatose 6-phosphate catabolic process [GO:2001059]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	integral component of plasma membrane [GO:0005887]	integral component of plasma membrane [GO:0005887]; catalytic activity [GO:0003824]; carbohydrate metabolic process [GO:0005975]; D-tagatose 6-phosphate catabolic process [GO:2001059]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	catalytic activity [GO:0003824]	GO:0003824; GO:0005887; GO:0005975; GO:0009401; GO:2001059		
P45395	KDSD_ECOLI	Arabinose 5-phosphate isomerase KdsD (API) (L-API) (EC 5.3.1.13)	kdsD yrbH b3197 JW3164	yrbH	kdsD	35,196	keto-3-deoxy-D-manno-octulosonic acid biosynthetic process [GO:0019294]		arabinose-5-phosphate isomerase activity [GO:0019146]; carbohydrate derivative binding [GO:0097367]; metal ion binding [GO:0046872]; keto-3-deoxy-D-manno-octulosonic acid biosynthetic process [GO:0019294]	arabinose-5-phosphate isomerase activity [GO:0019146]; carbohydrate derivative binding [GO:0097367]; metal ion binding [GO:0046872]	GO:0019146; GO:0019294; GO:0046872; GO:0097367		
P09833	MODC_ECOLI	Molybdenum import ATP-binding protein ModC (EC 7.3.2.5)	modC chlD narD b0765 JW0748	chlD narD	modC	39,102		plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; ABC-type molybdate transporter activity [GO:0015412]; ATP binding [GO:0005524]; molybdenum ion transmembrane transporter activity [GO:0042888]	ABC-type molybdate transporter activity [GO:0015412]; ATP binding [GO:0005524]; molybdenum ion transmembrane transporter activity [GO:0042888]	GO:0005524; GO:0005886; GO:0015412; GO:0042888	SUBCELLULAR LOCATION: Cell inner membrane; Peripheral membrane protein.	
P0A7B3	NADK_ECOLI	NAD kinase (EC 2.7.1.23) (ATP-dependent NAD kinase)	nadK yfjB yfjE b2615 JW2596	yfjB yfjE	nadK	32,566	NAD metabolic process [GO:0019674]; NADP biosynthetic process [GO:0006741]	cytosol [GO:0005829]	cytosol [GO:0005829]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; NAD+ kinase activity [GO:0003951]; NAD metabolic process [GO:0019674]; NADP biosynthetic process [GO:0006741]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; NAD+ kinase activity [GO:0003951]; NAD binding [GO:0051287]	GO:0003951; GO:0005524; GO:0005829; GO:0006741; GO:0019674; GO:0046872; GO:0051287	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00361}.	
P63386	MLAF_ECOLI	Intermembrane phospholipid transport system ATP-binding protein MlaF (EC 7.6.2.-)	mlaF yrbF b3195 JW3162	yrbF	mlaF	29,097		plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]	plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]	ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]	GO:0005524; GO:0005886; GO:0016887; GO:0032991; GO:0042626	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305|PubMed:19383799}; Peripheral membrane protein {ECO:0000305|PubMed:19383799}; Cytoplasmic side {ECO:0000305|PubMed:19383799}.	
